id.exposure,id.outcome,outcome,exposure,method,nsnp,b,se,pval,lo_ci,up_ci,or,or_lci95,or_uci95
OQnZRL,hFZIsl,finn-b-C3_COLON_ADENO_EXALLC.vcf,AC058791.1,Inverse variance weighted,3,-0.697702059,0.3020319438571,0.0208866385016619,-1.289684669,-0.105719449,0.497727739641507,0.275357598198094,0.899677017920614
6OzbJy,hFZIsl,finn-b-C3_COLON_ADENO_EXALLC.vcf,ALDH2,Inverse variance weighted,19,-0.219598173,0.100622712477237,0.0290806359614383,-0.41681869,-0.022377657,0.802841336400228,0.659140418152117,0.977870865876948
qzZtrs,hFZIsl,finn-b-C3_COLON_ADENO_EXALLC.vcf,ARL4C,Inverse variance weighted,26,-0.185835747,0.0941834808390801,0.0484813632652052,-0.370435369,-0.001236125,0.83040998108761,0.690433671449389,0.998764639103314
yeNsob,hFZIsl,finn-b-C3_COLON_ADENO_EXALLC.vcf,CST3,Inverse variance weighted,41,-0.123100242,0.046987741519175,0.00879717022689583,-0.215196216,-0.031004269,0.884175026328522,0.806383199580249,0.969471434412299
qv6czC,hFZIsl,finn-b-C3_COLON_ADENO_EXALLC.vcf,ETV6,Inverse variance weighted,4,-0.422630753,0.191619831867318,0.0274141946014266,-0.798205623,-0.047055882,0.655320563722527,0.450135953361373,0.954034082438307
8brnpJ,hFZIsl,finn-b-C3_COLON_ADENO_EXALLC.vcf,GRINA,Inverse variance weighted,22,-0.148319325,0.0487573009282958,0.00235018049463545,-0.243883635,-0.052755015,0.86215576304785,0.783578810207527,0.948612379601943
cMYbrs,hFZIsl,finn-b-C3_COLON_ADENO_EXALLC.vcf,LDLRAD4,Inverse variance weighted,12,-0.260560037,0.122550000986069,0.0334905322805716,-0.500758039,-0.020362035,0.770619889091875,0.606071059929249,0.979843871003013
8cnvoM,hFZIsl,finn-b-C3_COLON_ADENO_EXALLC.vcf,PLXND1,Inverse variance weighted,6,0.772262829775805,0.237975523418805,0.00117394730235198,0.305830803874946,1.23869485567666,2.16465897077788,1.35775256064034,3.45110633233443
nNLGDM,hFZIsl,finn-b-C3_COLON_ADENO_EXALLC.vcf,PREX1,Inverse variance weighted,6,0.75535088135464,0.243563543542005,0.00192707009622863,0.277966336012311,1.23273542669697,2.12835819355743,1.32044174512623,3.43060087035493
5rrHeC,hFZIsl,finn-b-C3_COLON_ADENO_EXALLC.vcf,PTGIR,Inverse variance weighted,21,-0.198226939,0.0896301349044163,0.0269935955563883,-0.373902004,-0.022551875,0.820183700060546,0.688044334281588,0.977700517725212
