id.exposure,id.outcome,outcome,exposure,method,nsnp,b,se,pval,lo_ci,up_ci,or,or_lci95,or_uci95
302tZP,uOIqTl,ebi-a-GCST90019017.vcf,ALDH2,Inverse variance weighted,13,-0.167637458,0.0471268508494885,0.000374894627504995,-0.260006086,-0.075268831,0.845660366097341,0.77104689307396,0.927494113797423
vnKRUY,uOIqTl,ebi-a-GCST90019017.vcf,ANTXR2,Inverse variance weighted,14,-0.159648279,0.0469312660658115,0.000669566687388371,-0.25163356,-0.067662997,0.852443558662134,0.777529603546085,0.934575374867374
rHBFKX,uOIqTl,ebi-a-GCST90019017.vcf,ARL4C,Inverse variance weighted,17,-0.135654979,0.0568293819590596,0.0169838540961275,-0.247040567,-0.02426939,0.873143833868638,0.78110900548401,0.976022743650765
nmAtpq,uOIqTl,ebi-a-GCST90019017.vcf,CTSZ,Inverse variance weighted,18,-0.100839379,0.0498901990461036,0.0432563523444493,-0.198624169,-0.003054588,0.904078235552802,0.819857963712602,0.996950072057591
7GR4z7,uOIqTl,ebi-a-GCST90019017.vcf,EPB41L3,Inverse variance weighted,15,-0.074139287,0.0375772540887407,0.0484974896875465,-0.147790705,-0.000487869,0.928542351285397,0.862611636647467,0.999512250358124
LutXuT,uOIqTl,ebi-a-GCST90019017.vcf,PTPRC,Inverse variance weighted,3,-0.491319851,0.145866615934486,0.000756382738357394,-0.777218418,-0.205421284,0.611818352042352,0.459682880182108,0.814304191070869
Xfx4mc,uOIqTl,ebi-a-GCST90019017.vcf,RNF130,Inverse variance weighted,18,-0.114054615,0.0536815652411272,0.0336157083488482,-0.219270483,-0.008838747,0.892209226725429,0.803104462933482,0.991200199966913
TZvucT,uOIqTl,ebi-a-GCST90019017.vcf,SH2B3,Inverse variance weighted,9,0.146704111010393,0.0526591148356047,0.00533759497235827,0.0434922459326074,0.249915976088178,1.15801126954824,1.04445189553024,1.28391753238185
EEvRFx,uOIqTl,ebi-a-GCST90019017.vcf,SULF2,Inverse variance weighted,66,-0.037578952,0.0158518442608353,0.0177575105254676,-0.068648567,-0.006509338,0.963118374237902,0.933654739399519,0.993511802222785
xpYjao,uOIqTl,ebi-a-GCST90019017.vcf,TNFRSF1B,Inverse variance weighted,6,-0.201642812,0.0810285613922154,0.0128268826669225,-0.360458792,-0.042826831,0.817386836743595,0.69735631108405,0.958077284542097
